sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:20:16;12.15;;;1.58;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:22:44;7.30;;;1.58;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:25:10;5.68;;;1.40;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:27:36;11.68;;;2.00;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:30:03;8.98;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:32:30;8.15;;;1.75;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:34:56;6.05;;;1.70;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:37:23;8.95;;;1.62;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:39:50;12.90;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:42:16;6.05;;;1.40;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:44:42;8.30;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:47:08;10.50;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:49:34;6.45;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:52:04;7.53;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:54:39;8.85;;;1.62;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:57:05;12.37;;;1.70;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T05:59:31;11.02;;;1.65;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:01:57;8.95;;;1.67;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:04:24;9.48;;;1.95;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:06:50;9.88;;;1.92;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:09:19;11.85;;;1.83;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:11:47;8.05;;;1.85;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:14:13;14.50;;;2.22;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:16:39;13.45;;;1.77;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:19:05;14.50;;;2.12;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:21:31;8.65;;;1.67;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:23:58;8.70;;;1.50;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:26:25;10.05;;;1.98;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:28:56;11.18;;;1.85;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:31:23;8.82;;;1.50;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:33:49;10.63;;;1.75;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:36:15;10.73;;;1.77;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:38:40;8.10;;;2.08;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:41:06;15.40;;;1.75;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:43:33;14.23;;;1.90;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:45:59;9.68;;;1.80;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:48:25;9.25;;;2.15;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:50:52;8.25;;;1.92;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:55:54;12.52;;;1.85;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T06:58:22;9.68;;;1.98;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T07:03:34;10.57;;;1.67;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T07:08:38;15.48;;;2.30;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T08:44:33;11.27;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:21:24;4.75;;;1.30;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:23:50;5.00;;;1.27;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:26:16;7.00;;;1.30;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:28:42;6.60;;;1.50;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:31:08;4.32;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:33:35;8.25;;;1.67;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:36:01;6.97;;;1.50;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:38:27;8.98;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:40:52;9.85;;;1.80;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:43:19;4.85;;;1.27;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:45:46;6.18;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:53:22;6.62;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T10:58:25;10.30;;;2.28;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:00:52;5.80;;;1.98;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:03:18;9.70;;;1.90;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:05:44;8.20;;;2.12;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:08:10;9.20;;;2.20;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:10:36;7.65;;;1.55;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:13:02;7.93;;;1.62;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:15:29;7.22;;;1.52;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:17:55;6.00;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:20:21;7.85;;;1.90;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:22:48;6.87;;;1.45;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:25:14;6.22;;;1.23;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:30:32;8.45;;;1.60;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:33:07;8.75;;;1.90;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:38:18;5.53;;;1.67;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:40:51;6.15;;;1.52;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:43:25;8.82;;;2.17;;
21422;SDS011;12386;53.336;-1.510;2020-03-29T11:57:13;5.20;;;1.60;;
