sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:14:59;36.58;;;24.45;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:17:32;38.88;;;24.35;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:20:12;32.60;;;22.50;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:22:52;34.33;;;23.12;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:26:16;38.20;;;23.95;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:28:33;42.17;;;27.00;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:34:23;39.92;;;25.83;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:37:11;37.43;;;25.00;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:40:50;37.85;;;24.80;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:43:05;37.75;;;24.75;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:45:39;37.58;;;24.77;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T00:51:28;39.42;;;23.20;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T03:30:34;42.70;;;26.55;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T03:37:25;43.58;;;26.87;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T03:46:54;44.38;;;26.10;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T03:53:35;50.88;;;27.70;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T05:13:23;47.13;;;28.75;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T05:16:16;48.10;;;29.17;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:27:17;44.70;;;28.45;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:41:43;42.95;;;28.10;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:44:22;44.45;;;28.20;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:47:22;42.97;;;27.50;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:49:52;45.15;;;28.83;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:52:27;48.40;;;29.20;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:55:15;45.97;;;28.50;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T06:57:50;49.75;;;28.58;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:00:21;48.45;;;28.83;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:02:56;45.35;;;29.10;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:05:26;56.10;;;30.80;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:07:53;57.67;;;31.98;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:10:23;54.97;;;32.08;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:12:56;62.08;;;33.58;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:15:39;54.60;;;32.67;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:18:11;56.80;;;32.22;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:20:40;60.10;;;34.83;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:23:06;52.50;;;33.15;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:25:35;51.73;;;32.60;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:35:34;51.85;;;32.45;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:38:30;64.60;;;34.38;;
21103;SDS011;10710;53.398;-1.514;2020-04-10T07:41:44;51.42;;;32.50;;
