sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:02:25;17.45;;;8.85;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:05:00;17.20;;;8.52;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:19:59;19.70;;;9.00;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:31:45;11.85;;;7.60;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:34:24;18.00;;;7.87;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:36:51;18.45;;;7.75;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:41:53;14.77;;;7.70;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:44:19;12.75;;;7.00;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:46:45;13.35;;;7.70;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:49:12;11.68;;;6.90;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:51:37;13.10;;;6.85;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:54:02;17.00;;;7.68;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:56:28;17.98;;;7.85;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T00:58:54;17.25;;;7.53;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:01:45;10.73;;;7.45;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:07:10;15.07;;;6.97;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:09:39;14.23;;;7.03;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:12:10;11.15;;;6.97;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:14:35;14.43;;;7.18;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:17:04;14.60;;;6.80;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:19:30;15.85;;;6.78;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:21:55;13.50;;;6.25;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:24:21;17.90;;;6.80;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:26:46;13.85;;;6.80;;
25275;SDS011;13222;53.36274323;-1.48576140;2020-03-22T01:29:12;13.25;;;6.47;;
